"N","size ratio","time ratio","type"
1000,10.00000,14.26000,"Append"
1000,10.00000,12.26000,"Insert"
1000,100.00000,169.98000,"Append"
1000,100.00000,62.83000,"Insert"
1000,1000.00000,851.76000,"Append"
1000,1000.00000,110.75000,"Insert"
1000,1.00000,1.02000,"Append"
1000,1.00000,2.10000,"Insert"
1000,10.00000,13.68000,"Append"
1000,10.00000,11.23000,"Insert"
1000,100.00000,162.89000,"Append"
1000,100.00000,56.11000,"Insert"
1000,1000.00000,797.74000,"Append"
1000,1000.00000,90.99000,"Insert"
1000,1.00000,1.29000,"Append"
1000,1.00000,2.11000,"Insert"
1000,10.00000,13.98000,"Append"
1000,10.00000,11.60000,"Insert"
1000,100.00000,157.99000,"Append"
1000,100.00000,74.86000,"Insert"
1000,1000.00000,806.73000,"Append"
1000,1000.00000,105.70000,"Insert"
1000,1.00000,1.11000,"Append"
1000,1.00000,1.78000,"Insert"
1000,10.00000,12.05000,"Append"
1000,10.00000,11.77000,"Insert"
1000,100.00000,193.08000,"Append"
1000,100.00000,63.82000,"Insert"
1000,1000.00000,877.16000,"Append"
1000,1000.00000,109.10000,"Insert"
1000,1.00000,1.26000,"Append"
1000,1.00000,1.86000,"Insert"
1000,10.00000,12.63000,"Append"
1000,10.00000,12.08000,"Insert"
1000,100.00000,152.16000,"Append"
1000,100.00000,53.89000,"Insert"
1000,1000.00000,811.17000,"Append"
1000,1000.00000,114.01000,"Insert"
1000,1.00000,1.29000,"Append"
1000,1.00000,1.91000,"Insert"
1000,10.00000,14.03000,"Append"
1000,10.00000,11.97000,"Insert"
1000,100.00000,155.06000,"Append"
1000,100.00000,49.86000,"Insert"
1000,1000.00000,839.09000,"Append"
1000,1000.00000,116.12000,"Insert"
1000,1.00000,1.32000,"Append"
1000,1.00000,2.16000,"Insert"
1000,10.00000,13.99000,"Append"
1000,10.00000,11.12000,"Insert"
1000,100.00000,153.01000,"Append"
1000,100.00000,52.12000,"Insert"
1000,1000.00000,852.46000,"Append"
1000,1000.00000,101.51000,"Insert"
1000,1.00000,1.28000,"Append"
1000,1.00000,1.77000,"Insert"
1000,10.00000,14.39000,"Append"
1000,10.00000,11.45000,"Insert"
1000,100.00000,151.72000,"Append"
1000,100.00000,49.38000,"Insert"
1000,1000.00000,718.28000,"Append"
1000,1000.00000,100.09000,"Insert"
10,1.00000,0.59000,"Append"
10,1.00000,0.72000,"Insert"
10,10.00000,4.55000,"Append"
10,10.00000,4.57000,"Insert"
10,100.00000,60.16000,"Append"
10,100.00000,29.64000,"Insert"
10,1000.00000,476.44000,"Append"
10,1000.00000,57.79000,"Insert"
10,1.00000,0.84000,"Append"
10,1.00000,0.87000,"Insert"
10,10.00000,4.59000,"Append"
10,10.00000,2.14000,"Insert"
10,100.00000,49.92000,"Append"
10,100.00000,19.12000,"Insert"
10,1000.00000,419.46000,"Append"
10,1000.00000,70.14000,"Insert"
10,1.00000,0.81000,"Append"
10,1.00000,0.67000,"Insert"
10,10.00000,3.20000,"Append"
10,10.00000,2.32000,"Insert"
10,100.00000,65.47000,"Append"
10,100.00000,20.99000,"Insert"
10,1000.00000,488.88000,"Append"
10,1000.00000,91.73000,"Insert"
10,1.00000,0.95000,"Append"
10,1.00000,0.79000,"Insert"
10,10.00000,6.02000,"Append"
10,10.00000,2.01000,"Insert"
10,100.00000,65.65000,"Append"
10,100.00000,30.30000,"Insert"
10,1000.00000,526.11000,"Append"
10,1000.00000,51.45000,"Insert"
10,1.00000,0.72000,"Append"
10,1.00000,0.72000,"Insert"
10,10.00000,4.17000,"Append"
