"computation time (s)","series size n","series_type","visibility","Method"
15.89815,5000.00000,"walk","nvg","dc"
56.59181,5000.00000,"walk","nvg","bt"
106.63973,5000.00000,"walk","hvg","basic"
5.97025,5000.00000,"walk","hvg","dc"
0.65969,5000.00000,"walk","hvg","bt"
229.08831,5000.00000,"walk","nvg","basic"
10.17457,5000.00000,"walk","nvg","dc"
40.63115,5000.00000,"walk","nvg","bt"
96.42599,5000.00000,"walk","hvg","basic"
2.80931,5000.00000,"walk","hvg","dc"
0.49483,5000.00000,"walk","hvg","bt"
320.93654,5000.00000,"walk","nvg","basic"
27.10364,5000.00000,"walk","nvg","dc"
63.34354,5000.00000,"walk","nvg","bt"
118.32192,5000.00000,"walk","hvg","basic"
4.63850,5000.00000,"walk","hvg","dc"
0.63566,5000.00000,"walk","hvg","bt"
228.46516,5000.00000,"walk","nvg","basic"
8.21708,5000.00000,"walk","nvg","dc"
33.15810,5000.00000,"walk","nvg","bt"
92.32611,5000.00000,"walk","hvg","basic"
2.55358,5000.00000,"walk","hvg","dc"
0.47521,5000.00000,"walk","hvg","bt"
265.35421,5000.00000,"walk","nvg","basic"
14.32604,5000.00000,"walk","nvg","dc"
43.82459,5000.00000,"walk","nvg","bt"
108.22129,5000.00000,"walk","hvg","basic"
3.16214,5000.00000,"walk","hvg","dc"
0.52703,5000.00000,"walk","hvg","bt"
367.75942,5000.00000,"walk","nvg","basic"
26.66537,5000.00000,"walk","nvg","dc"
65.15260,5000.00000,"walk","nvg","bt"
119.31954,5000.00000,"walk","hvg","basic"
6.06654,5000.00000,"walk","hvg","dc"
0.70377,5000.00000,"walk","hvg","bt"
239.11747,5000.00000,"walk","nvg","basic"
23.01802,5000.00000,"walk","nvg","dc"
55.10771,5000.00000,"walk","nvg","bt"
91.00150,5000.00000,"walk","hvg","basic"
3.22169,5000.00000,"walk","hvg","dc"
0.54645,5000.00000,"walk","hvg","bt"
216.55683,5000.00000,"walk","nvg","basic"
10.93315,5000.00000,"walk","nvg","dc"
42.73806,5000.00000,"walk","nvg","bt"
87.69004,5000.00000,"walk","hvg","basic"
2.95756,5000.00000,"walk","hvg","dc"
0.52854,5000.00000,"walk","hvg","bt"
246.88983,5000.00000,"walk","nvg","basic"
104.35709,5000.00000,"walk","nvg","dc"
219.06481,5000.00000,"walk","nvg","bt"
80.37976,5000.00000,"walk","hvg","basic"
16.90468,5000.00000,"walk","hvg","dc"
1.73684,5000.00000,"walk","hvg","bt"
153.95181,5000.00000,"random","nvg","basic"
0.61424,5000.00000,"random","nvg","dc"
5.34050,5000.00000,"random","nvg","bt"
78.83260,5000.00000,"random","hvg","basic"
0.38164,5000.00000,"random","hvg","dc"
0.12292,5000.00000,"random","hvg","bt"
179.19717,5000.00000,"random","nvg","basic"
0.65737,5000.00000,"random","nvg","dc"
5.80404,5000.00000,"random","nvg","bt"
90.55825,5000.00000,"random","hvg","basic"
0.47000,5000.00000,"random","hvg","dc"
0.13425,5000.00000,"random","hvg","bt"
178.45610,5000.00000,"random","nvg","basic"
0.59764,5000.00000,"random","nvg","dc"
5.43178,5000.00000,"random","nvg","bt"
90.66963,5000.00000,"random","hvg","basic"
0.39943,5000.00000,"random","hvg","dc"
0.12445,5000.00000,"random","hvg","bt"
178.05394,5000.00000,"random","nvg","basic"
0.62762,5000.00000,"random","nvg","dc"
5.75281,5000.00000,"random","nvg","bt"
91.40368,5000.00000,"random","hvg","basic"
0.46686,5000.00000,"random","hvg","dc"
0.12947,5000.00000,"random","hvg","bt"
177.58611,5000.00000,"random","nvg","basic"
0.52875,5000.00000,"random","nvg","dc"
5.10446,5000.00000,"random","nvg","bt"
91.23657,5000.00000,"random","hvg","basic"
0.36252,5000.00000,"random","hvg","dc"
0.12656,5000.00000,"random","hvg","bt"
149.91537,5000.00000,"random","nvg","basic"
0.57851,5000.00000,"random","nvg","dc"
5.22564,5000.00000,"random","nvg","bt"
76.89468,5000.00000,"random","hvg","basic"
0.36001,5000.00000,"random","hvg","dc"
0.13102,5000.00000,"random","hvg","bt"
148.77657,5000.00000,"random","nvg","basic"
0.56570,5000.00000,"random","nvg","dc"
5.26514,5000.00000,"random","nvg","bt"
76.21392,5000.00000,"random","hvg","basic"
0.38680,5000.00000,"random","hvg","dc"
0.12452,5000.00000,"random","hvg","bt"
177.34340,5000.00000,"random","nvg","basic"
0.61873,5000.00000,"random","nvg","dc"
5.53589,5000.00000,"random","nvg","bt"
88.99022,5000.00000,"random","hvg","basic"
0.39362,5000.00000,"random","hvg","dc"
0.13710,5000.00000,"random","hvg","bt"
179.25679,5000.00000,"random","nvg","basic"
0.88614,5000.00000,"random","nvg","dc"
6.67456,5000.00000,"random","nvg","bt"
88.87561,5000.00000,"random","hvg","basic"
0.52178,5000.00000,"random","hvg","dc"
0.14090,5000.00000,"random","hvg","bt"
177.94855,5000.00000,"random","nvg","basic"
0.80568,5000.00000,"random","nvg","dc"
5.71583,5000.00000,"random","nvg","bt"
90.68898,5000.00000,"random","hvg","basic"
0.47978,5000.00000,"random","hvg","dc"
0.12661,5000.00000,"random","hvg","bt"
446.63324,5000.00000,"conway","nvg","basic"
42.54252,5000.00000,"conway","nvg","dc"
165.94568,5000.00000,"conway","nvg","bt"
59.16062,5000.00000,"conway","hvg","basic"
10.28668,5000.00000,"conway","hvg","dc"
1.62255,5000.00000,"conway","hvg","bt"
2168.42692,10000.00000,"walk","nvg","basic"
73.33821,10000.00000,"walk","nvg","dc"
247.81830,10000.00000,"walk","nvg","bt"
813.71706,10000.00000,"walk","hvg","basic"
21.32029,10000.00000,"walk","hvg","dc"
1.68033,10000.00000,"walk","hvg","bt"
2138.65962,10000.00000,"walk","nvg","basic"
68.24903,10000.00000,"walk","nvg","dc"
268.26914,10000.00000,"walk","nvg","bt"
757.40674,10000.00000,"walk","hvg","basic"
25.97340,10000.00000,"walk","hvg","dc"
1.73475,10000.00000,"walk","hvg","bt"
1268.20775,10000.00000,"walk","nvg","basic"
61.32769,10000.00000,"walk","nvg","dc"
223.12936,10000.00000,"walk","nvg","bt"
560.89574,10000.00000,"walk","hvg","basic"
9.78246,10000.00000,"walk","hvg","dc"
1.24357,10000.00000,"walk","hvg","bt"
1598.47241,10000.00000,"walk","nvg","basic"
106.89763,10000.00000,"walk","nvg","dc"
311.09501,10000.00000,"walk","nvg","bt"
652.33053,10000.00000,"walk","hvg","basic"
17.95391,10000.00000,"walk","hvg","dc"
1.61686,10000.00000,"walk","hvg","bt"
1460.47140,10000.00000,"walk","nvg","basic"
143.17948,10000.00000,"walk","nvg","dc"
346.07807,10000.00000,"walk","nvg","bt"
582.87629,10000.00000,"walk","hvg","basic"
14.87998,10000.00000,"walk","hvg","dc"
1.60458,10000.00000,"walk","hvg","bt"
1585.52760,10000.00000,"walk","nvg","basic"
148.23060,10000.00000,"walk","nvg","dc"
391.27406,10000.00000,"walk","nvg","bt"
625.55861,10000.00000,"walk","hvg","basic"
20.41252,10000.00000,"walk","hvg","dc"
1.87532,10000.00000,"walk","hvg","bt"
1514.01151,10000.00000,"walk","nvg","basic"
212.39191,10000.00000,"walk","nvg","dc"
536.27246,10000.00000,"walk","nvg","bt"
607.26253,10000.00000,"walk","hvg","basic"
32.27817,10000.00000,"walk","hvg","dc"
2.38440,10000.00000,"walk","hvg","bt"
1557.75392,10000.00000,"walk","nvg","basic"
50.95522,10000.00000,"walk","nvg","dc"
287.33818,10000.00000,"walk","nvg","bt"
637.52553,10000.00000,"walk","hvg","basic"
27.23402,10000.00000,"walk","hvg","dc"
1.81389,10000.00000,"walk","hvg","bt"
1452.88041,10000.00000,"walk","nvg","basic"
51.19034,10000.00000,"walk","nvg","dc"
221.27015,10000.00000,"walk","nvg","bt"
610.73680,10000.00000,"walk","hvg","basic"
11.25710,10000.00000,"walk","hvg","dc"
1.41007,10000.00000,"walk","hvg","bt"
1517.42085,10000.00000,"walk","nvg","basic"
45.53699,10000.00000,"walk","nvg","dc"
272.35974,10000.00000,"walk","nvg","bt"
643.16195,10000.00000,"walk","hvg","basic"
27.33738,10000.00000,"walk","hvg","dc"
1.81429,10000.00000,"walk","hvg","bt"
1169.11200,10000.00000,"random","nvg","basic"
1.49233,10000.00000,"random","nvg","dc"
21.04283,10000.00000,"random","nvg","bt"
589.46528,10000.00000,"random","hvg","basic"
0.94470,10000.00000,"random","hvg","dc"
0.26053,10000.00000,"random","hvg","bt"
1462.03155,10000.00000,"random","nvg","basic"
1.85086,10000.00000,"random","nvg","dc"
22.51270,10000.00000,"random","nvg","bt"
724.97628,10000.00000,"random","hvg","basic"
1.21452,10000.00000,"random","hvg","dc"
0.27117,10000.00000,"random","hvg","bt"
1157.63747,10000.00000,"random","nvg","basic"
1.79558,10000.00000,"random","nvg","dc"
23.58438,10000.00000,"random","nvg","bt"
591.24948,10000.00000,"random","hvg","basic"
1.14003,10000.00000,"random","hvg","dc"
0.29750,10000.00000,"random","hvg","bt"
1168.28636,10000.00000,"random","nvg","basic"
1.71736,10000.00000,"random","nvg","dc"
22.95563,10000.00000,"random","nvg","bt"
587.39341,10000.00000,"random","hvg","basic"
1.22267,10000.00000,"random","hvg","dc"
0.28116,10000.00000,"random","hvg","bt"
1451.52008,10000.00000,"random","nvg","basic"
1.98516,10000.00000,"random","nvg","dc"
23.67045,10000.00000,"random","nvg","bt"
720.48505,10000.00000,"random","hvg","basic"
1.34350,10000.00000,"random","hvg","dc"
0.27746,10000.00000,"random","hvg","bt"
1457.05556,10000.00000,"random","nvg","basic"
2.02282,10000.00000,"random","nvg","dc"
24.36270,10000.00000,"random","nvg","bt"
737.46377,10000.00000,"random","hvg","basic"
1.67220,10000.00000,"random","hvg","dc"
0.30635,10000.00000,"random","hvg","bt"
1162.64415,10000.00000,"random","nvg","basic"
1.86865,10000.00000,"random","nvg","dc"
23.04258,10000.00000,"random","nvg","bt"
595.55988,10000.00000,"random","hvg","basic"
1.22766,10000.00000,"random","hvg","dc"
0.28925,10000.00000,"random","hvg","bt"
1160.51804,10000.00000,"random","nvg","basic"
1.59873,10000.00000,"random","nvg","dc"
22.18929,10000.00000,"random","nvg","bt"
588.07601,10000.00000,"random","hvg","basic"
1.17470,10000.00000,"random","hvg","dc"
0.26874,10000.00000,"random","hvg","bt"
1458.32175,10000.00000,"random","nvg","basic"
2.09562,10000.00000,"random","nvg","dc"
23.78119,10000.00000,"random","nvg","bt"
731.58796,10000.00000,"random","hvg","basic"
1.31108,10000.00000,"random","hvg","dc"
0.27701,10000.00000,"random","hvg","bt"
1459.97411,10000.00000,"random","nvg","basic"
1.87182,10000.00000,"random","nvg","dc"
22.43281,10000.00000,"random","nvg","bt"
727.36481,10000.00000,"random","hvg","basic"
1.22555,10000.00000,"random","hvg","dc"
0.27213,10000.00000,"random","hvg","bt"
3403.75690,10000.00000,"conway","nvg","basic"
