"computation time (s)","series size n","series_type","visibility","Method"
0.00194,50.00000,"walk","hvg","basic"
0.00127,50.00000,"walk","hvg","dc"
0.00079,50.00000,"walk","hvg","bt"
0.00296,50.00000,"walk","nvg","basic"
0.00125,50.00000,"walk","nvg","dc"
0.00252,50.00000,"walk","nvg","bt"
0.00214,50.00000,"walk","hvg","basic"
0.00121,50.00000,"walk","hvg","dc"
0.00081,50.00000,"walk","hvg","bt"
0.00320,50.00000,"walk","nvg","basic"
0.00153,50.00000,"walk","nvg","dc"
0.00289,50.00000,"walk","nvg","bt"
0.00212,50.00000,"walk","hvg","basic"
0.00125,50.00000,"walk","hvg","dc"
0.00091,50.00000,"walk","hvg","bt"
0.00335,50.00000,"walk","nvg","basic"
0.00108,50.00000,"walk","nvg","dc"
0.00208,50.00000,"walk","nvg","bt"
0.00229,50.00000,"walk","hvg","basic"
0.00102,50.00000,"walk","hvg","dc"
0.00074,50.00000,"walk","hvg","bt"
0.00319,50.00000,"walk","nvg","basic"
0.00143,50.00000,"walk","nvg","dc"
0.00294,50.00000,"walk","nvg","bt"
0.00224,50.00000,"walk","hvg","basic"
0.00141,50.00000,"walk","hvg","dc"
0.00094,50.00000,"walk","hvg","bt"
0.00339,50.00000,"walk","nvg","basic"
0.00117,50.00000,"walk","nvg","dc"
0.00235,50.00000,"walk","nvg","bt"
0.00204,50.00000,"walk","hvg","basic"
0.00109,50.00000,"walk","hvg","dc"
0.00084,50.00000,"walk","hvg","bt"
0.00322,50.00000,"walk","nvg","basic"
0.00170,50.00000,"walk","nvg","dc"
0.00321,50.00000,"walk","nvg","bt"
0.00187,50.00000,"walk","hvg","basic"
0.00136,50.00000,"walk","hvg","dc"
0.00095,50.00000,"walk","hvg","bt"
0.00275,50.00000,"random","nvg","basic"
0.00075,50.00000,"random","nvg","dc"
0.00159,50.00000,"random","nvg","bt"
0.00187,50.00000,"random","hvg","basic"
0.00077,50.00000,"random","hvg","dc"
0.00068,50.00000,"random","hvg","bt"
0.00281,50.00000,"random","nvg","basic"
0.00082,50.00000,"random","nvg","dc"
0.00171,50.00000,"random","nvg","bt"
0.00190,50.00000,"random","hvg","basic"
0.00085,50.00000,"random","hvg","dc"
0.00075,50.00000,"random","hvg","bt"
0.00277,50.00000,"random","nvg","basic"
0.00092,50.00000,"random","nvg","dc"
0.00185,50.00000,"random","nvg","bt"
0.00167,50.00000,"random","hvg","basic"
0.00094,50.00000,"random","hvg","dc"
0.00069,50.00000,"random","hvg","bt"
0.00265,50.00000,"random","nvg","basic"
